"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
606.15625,2.17957,606.15625,0.05338,11066.335839884398,,
607.73816,2.1789,607.73816,0.05313,10985.837564336965,,
609.32001,2.17828,609.32001,0.05279,10887.197102422759,,
610,2.17803,610,0.05262,10840.039700452126,,
610.90179,2.1777,610.90179,0.05236,10770.55553181218,,
612.48352,2.17714,612.48352,0.05183,10634.000224891537,,
614.06531,2.17658,614.06531,0.05123,10483.822422302612,,
615,2.17625,615,0.05083,10386.156395575234,,
615.64697,2.17602,615.64697,0.05055,10318.089189261438,,
617.22864,2.17544,617.22864,0.04979,10136.91770506539,,
618.81018,2.17484,618.81018,0.04898,9946.520800470871,,
620,2.17437,620,0.04833,9795.68857728998,,
620.39179,2.17422,620.39179,0.04811,9744.940213615977,,
621.97327,2.17357,621.97327,0.04719,9534.284797988335,,
623.55475,2.17288,623.55475,0.04623,9316.636806981658,,
625,2.17223,625,0.04532,9112.126659884123,,
625.13617,2.17216,625.13617,0.04523,9092.050183041967,,
626.71753,2.17141,626.71753,0.04421,8864.587605532895,,
628.29889,2.17061,628.29889,0.04316,8632.269837620464,,
629.88013,2.16978,629.88013,0.04209,8397.130088202299,,
630,2.16972,630,0.04201,8379.57507157506,,
631.46137,2.16891,631.46137,0.041,8159.187872232409,,
633.0426,2.168,633.0426,0.03991,7922.434465217264,,
634.62366,2.16704,634.62366,0.03882,7686.862907844045,,
635,2.16681,635,0.03856,7630.8543447195225,,
636.20477,2.16606,636.20477,0.03773,7452.461623004988,,
637.78577,2.16503,637.78577,0.03665,7221.194085535394,,
639.36682,2.16397,639.36682,0.03557,6991.069739164065,,
640,2.16353,640,0.03515,6901.686360855077,,
640.94769,2.16287,640.94769,0.03452,6767.964381113203,,
642.52863,2.16175,642.52863,0.03348,6547.911929912681,,
644.10944,2.1606,644.10944,0.03247,6334.7938798761015,,
645,2.15995,645,0.03191,6216.943973708547,,
645.69019,2.15944,645.69019,0.03148,6126.612314491363,,
647.27087,2.15826,647.27087,0.03052,5925.2725393040155,,
648.85156,2.15707,648.85156,0.02958,5728.78707069371,,
650,2.15619,650,0.0289,5587.20170392277,,
650.43219,2.15586,650.43219,0.02865,5535.189119428272,,
652.0127,2.15464,652.0127,0.02775,5348.312763669589,,
653.5932,2.15342,653.5932,0.02688,5168.108268476088,,
655,2.15232,655,0.02612,5011.200006825368,,
655.17364,2.15218,655.17364,0.02602,4990.6916796229125,,
656.75403,2.15094,656.75403,0.02519,4819.869560232582,,
658.33435,2.1497,658.33435,0.02438,4653.685708152349,,
659.91455,2.14845,659.91455,0.02359,4492.107088603107,,
660,2.14838,660,0.02355,4483.90951466907,,
661.49475,2.14719,661.49475,0.02282,4335.099823841026,,
663.07489,2.14594,663.07489,0.02208,4184.526775927988,,
664.65491,2.14467,664.65491,0.02135,4036.561057174291,,
665,2.1444,665,0.0212,4006.1211582618716,,
666.23499,2.14341,666.23499,0.02065,3894.955339804608,,
667.81488,2.14215,667.81488,0.01997,3757.7842106296393,,
669.39477,2.14089,669.39477,0.0193,3623.137851183571,,
670,2.14041,670,0.01906,3574.851103129639,,
670.97461,2.13963,670.97461,0.01867,3496.6172471129084,,
672.55432,2.13837,672.55432,0.01804,3370.6916919816904,,
674.13403,2.13712,674.13403,0.01744,3250.948531917666,,
675,2.13643,675,0.01713,3189.0656092440386,,
675.71368,2.13586,675.71368,0.01687,3137.3446851666417,,
677.29321,2.13461,677.29321,0.01631,3026.1266714928106,,
678.87268,2.13336,678.87268,0.01577,2919.1285851780654,,
680,2.13247,680,0.0154,2845.9133450166364,,
680.45209,2.13212,680.45209,0.01525,2816.3210119462988,,
682.03143,2.13088,682.03143,0.01475,2717.6748520489414,,
683.61072,2.12965,683.61072,0.01427,2623.1611562045923,,
685,2.12857,685,0.01387,2544.460736075354,,
685.18994,2.12843,685.18994,0.01381,2532.7514029803206,,
686.7691,2.12721,686.7691,0.01337,2446.417218159381,,
688.34815,2.126,688.34815,0.01295,2364.1307012440043,,
689.92712,2.12479,689.92712,0.01254,2284.0425160278382,,
690,2.12474,690,0.01252,2280.1588419098093,,
691.50604,2.1236,691.50604,0.01215,2207.9547268229785,,
693.0849,2.12241,693.0849,0.01178,2135.8400080156284,,
694.6637,2.12123,694.6637,0.01142,2065.862264229177,,
695,2.12098,695,0.01135,2052.2058485320376,,
696.24237,2.12006,696.24237,0.01108,1999.8120253310585,,
697.82098,2.1189,697.82098,0.01076,1937.662404625678,,
699.39954,2.11775,699.39954,0.01046,1879.3869470688667,,
700,2.11731,700,0.01034,1856.2324593210553,,
700.97797,2.11661,700.97797,0.01016,1821.3742928595773,,
702.5564,2.11548,702.5564,0.00989,1768.9883029463856,,
704.13471,2.11436,704.13471,0.00963,1718.6221229781274,,
705,2.11375,705,0.00949,1691.55825716693,,
705.71295,2.11324,705.71295,0.00938,1670.2620571535358,,
707.29114,2.11214,707.29114,0.00915,1625.6713058979706,,
708.8692,2.11106,708.8692,0.00893,1583.0521284635786,,
710,2.11028,710,0.00878,1553.9821689306134,,
710.44714,2.10998,710.44714,0.00873,1544.1601392519588,,
712.02508,2.10891,712.02508,0.00854,1507.2054069588019,,
713.6029,2.10786,713.6029,0.00836,1472.175327987634,,
715,2.10694,715,0.00821,1442.9357027117314,,
715.18066,2.10682,715.18066,0.00819,1439.057025557733,,
716.75836,2.10579,716.75836,0.00804,1409.591089240281,,
718.33594,2.10477,718.33594,0.00791,1383.7535618721938,,
719.91345,2.10377,719.91345,0.00778,1358.0294045029211,,
720,2.10371,720,0.00777,1356.120828799594,,
721.49085,2.10278,721.49085,0.00766,1334.1596626761277,,
723.06818,2.10181,723.06818,0.00756,1313.8700398149917,,
724.64539,2.10085,724.64539,0.00746,1293.6689596979209,,
725,2.10063,725,0.00744,1289.5696189080309,,
726.22253,2.0999,726.22253,0.00737,1275.2861223931884,,
727.79962,2.09897,727.79962,0.0073,1260.4362926820704,,
729.37659,2.09806,729.37659,0.00723,1245.6508858039554,,
730,2.0977,730,0.0072,1239.4228551148772,,
730.95349,2.09715,730.95349,0.00717,1232.648568446609,,
732.53033,2.09627,732.53033,0.00711,1219.7023305245766,,
734.10706,2.0954,734.10706,0.00706,1208.5236796030235,,
735,2.09491,735,0.00703,1201.926332230544,,
735.68366,2.09454,735.68366,0.00702,1199.101278296726,,
737.26013,2.09369,737.26013,0.00698,1189.7193855881917,,
738.83655,2.09287,738.83655,0.00694,1180.3776094137827,,
740,2.09226,740,0.00692,1175.1254682616957,,
740.41296,2.09205,740.41296,0.00691,1172.7728394330359,,
741.9892,2.09125,741.9892,0.00689,1166.8942557780451,,
743.56531,2.09046,743.56531,0.00686,1159.35078271072,,
745,2.08976,745,0.00685,1155.431392058528,,
745.14142,2.08969,745.14142,0.00684,1153.525662312756,,
746.71741,2.08893,746.71741,0.00683,1149.4081984250663,,
748.29327,2.08818,748.29327,0.00681,1143.6289395437966,,
749.86902,2.08744,749.86902,0.00679,1137.8741379594371,,
750,2.08738,750,0.00679,1137.6754196199838,,
751.4447,2.08672,751.4447,0.00678,1133.8158718180484,,
753.02026,2.08601,753.02026,0.00676,1128.1059735772317,,
754.59576,2.08531,754.59576,0.00675,1124.0853201577015,,
755,2.08513,755,0.00674,1121.819045573256,,
756.17114,2.08462,756.17114,0.00673,1118.4197565995078,,
757.7464,2.08394,757.7464,0.00672,1114.4363144251645,,
759.32159,2.08328,759.32159,0.0067,1108.8145553217637,,
760,2.08299,760,0.00669,1106.1713080271431,,
760.89667,2.08262,760.89667,0.00668,1103.2162317640223,,
762.47162,2.08197,762.47162,0.00666,1097.641224884306,,
764.04651,2.08133,764.04651,0.00664,1092.0892875925172,,
765,2.08095,765,0.00662,1087.4427904190552,,
765.62128,2.0807,765.62128,0.00661,1084.919031520573,,
767.19592,2.08007,767.19592,0.00659,1079.4163549335215,,
768.77051,2.07945,768.77051,0.00656,1072.3016837651091,,
770,2.07898,770,0.00654,1067.3255041286882,,
770.34497,2.07884,770.34497,0.00653,1065.2162772188335,,
771.91931,2.07824,771.91931,0.0065,1058.159938936294,,
773.49359,2.07764,773.49359,0.00647,1051.1324066034451,,
775,2.07707,775,0.00644,1044.2248613738461,,
775.06775,2.07704,775.06775,0.00644,1044.133583889577,,
776.64172,2.07646,776.64172,0.0064,1035.5453468543863,,
778.2157,2.07587,778.2157,0.00637,1028.6066037149847,,
779.78949,2.07529,779.78949,0.00634,1021.6961207701987,,
780,2.07522,780,0.00633,1019.8093075499174,,
781.36316,2.07472,781.36316,0.0063,1013.2053688129191,,
782.93683,2.07415,782.93683,0.00627,1006.3537789125595,,
784.51031,2.07359,784.51031,0.00623,997.9281078850021,,
785,2.07341,785,0.00622,995.704779889351,,
786.08362,2.07303,786.08362,0.0062,991.1349864919825,,
787.65692,2.07247,787.65692,0.00616,982.7736038230008,,
789.2301,2.07192,789.2301,0.00613,976.0379370480388,,
790,2.07166,790,0.00611,971.9053728320828,,
790.8031,2.07138,790.8031,0.00609,967.7402256193402,,
792.37604,2.07084,792.37604,0.00606,961.0614415223433,,
793.94885,2.0703,793.94885,0.00602,952.8265088921311,,
795,2.06994,795,0.006,948.405329385598,,
795.52154,2.06976,795.52154,0.00599,946.2039202610584,,
797.09412,2.06923,797.09412,0.00596,939.6075944153329,,
798.66656,2.06871,798.66656,0.00593,933.0374085419314,,
800,2.06826,800,0.0059,926.7698328089891,,
800.23889,2.06819,800.23889,0.0059,926.4931703671529,,
801.81116,2.06767,801.81116,0.00587,919.9746671808404,,
803.38324,2.06715,803.38324,0.00584,913.4818942433697,,
804.9552,2.06664,804.9552,0.00581,907.0146173281047,,
805,2.06663,805,0.00581,906.9641399928795,,
806.5271,2.06614,806.5271,0.00578,900.5726174730647,,
808.09882,2.06563,808.09882,0.00575,894.1558785170017,,
809.67047,2.06513,809.67047,0.00573,889.316163652085,,
810,2.06503,810,0.00573,888.9543656824453,,
811.242,2.06464,811.242,0.00571,884.495331947691,,
812.81335,2.06415,812.81335,0.00569,879.6933366769097,,
814.38464,2.06366,814.38464,0.00567,874.9099367028399,,
815,2.06347,815,0.00566,872.7074561628579,,
815.95575,2.06318,815.95575,0.00565,870.1451515125584,,
817.52673,2.0627,817.52673,0.00563,865.3988177101211,,
819.09766,2.06223,819.09766,0.00562,862.2049152563635,,
820,2.06196,820,0.00561,859.7236481287191,,
820.66846,2.06176,820.66846,0.0056,857.4921404974108,,
822.23907,2.06129,822.23907,0.00559,854.3258803582246,,
823.80957,2.06083,823.80957,0.00558,851.17180695199,,
825,2.06049,825,0.00557,848.4204160240072,,
825.38,2.06038,825.38,0.00556,846.5073131871017,,
826.9502,2.05993,826.9502,0.00555,843.3803741711824,,
828.52032,2.05948,828.52032,0.00554,840.2653685494379,,
830,2.05906,830,0.00553,837.2533674386292,,
830.09033,2.05904,830.09033,0.00553,837.1622579606033,,
831.66016,2.0586,831.66016,0.00552,834.0710440098829,,
833.22986,2.05816,833.22986,0.00551,830.9916075873593,,
834.7995,2.05773,834.7995,0.00551,829.4291274146552,,
835,2.05768,835,0.00551,829.229965091246,,
836.36902,2.05731,836.36902,0.0055,826.3701395703949,,
837.93835,2.05688,837.93835,0.00549,823.3227978267357,,
839.50751,2.05647,839.50751,0.00549,821.7838893761874,,
840,2.05634,840,0.00549,821.3020794384745,,
841.07666,2.05605,841.07666,0.00548,818.7566513460054,,
842.64563,2.05564,842.64563,0.00548,817.2321615990375,,
844.21435,2.05524,844.21435,0.00547,814.2250514995947,,
845,2.05504,845,0.00547,813.4680149176886,,
845.78302,2.05484,845.78302,0.00547,812.7149119232104,,
847.35156,2.05444,847.35156,0.00546,809.7274707843942,,
848.91992,2.05404,848.91992,0.00545,806.7512404262759,,
850,2.05377,850,0.00545,805.7261158618529,,
850.48816,2.05365,850.48816,0.00545,805.2636482118398,,
852.05633,2.05327,852.05633,0.00545,803.7815979638048,,
853.62433,2.05288,853.62433,0.00544,800.8330332163085,,
855,2.05255,855,0.00543,798.0747653329861,,
855.1922,2.0525,855.1922,0.00543,797.8954021794202,,
856.75989,2.05213,856.75989,0.00543,796.4354217839295,,
858.32745,2.05176,858.32745,0.00542,793.51684173478,,
859.89484,2.05139,859.89484,0.00542,792.0704435187298,,
860,2.05136,860,0.00542,791.9735898817062,,
861.4621,2.05102,861.4621,0.00541,789.1707020388144,,
863.0293,2.05066,863.0293,0.0054,786.2815470753952,,
864.59631,2.0503,864.59631,0.0054,784.8564761690868,,
865,2.05021,865,0.00539,783.037429033479,,
866.16309,2.04994,866.16309,0.00539,781.9859607663026,,
867.7298,2.04959,867.7298,0.00538,779.1258742669937,,
869.29639,2.04924,869.29639,0.00537,776.2762042427066,,
870,2.04908,870,0.00537,775.648393093204,,
870.86279,2.04889,870.86279,0.00537,774.8799348644665,,
872.42902,2.04854,872.42902,0.00536,772.0484411782309,,
873.99512,2.0482,873.99512,0.00535,769.2272101796354,,
875,2.04799,875,0.00534,766.9076466363198,,
875.56116,2.04786,875.56116,0.00534,766.4161242679835,,
877.12695,2.04753,877.12695,0.00533,763.6152939381739,,
878.69269,2.04719,878.69269,0.00532,760.8244888026873,,
880,2.04691,880,0.00531,758.2662268437183,,
880.25812,2.04686,880.25812,0.0053,756.6163008652919,,
881.82355,2.04653,881.82355,0.00529,753.8480975015924,,
883.38879,2.0462,883.38879,0.00528,751.089866601278,,
884.9538,2.04587,884.9538,0.00527,748.3415872972447,,
885,2.04586,885,0.00527,748.3025213296368,,
886.51874,2.04555,886.51874,0.00526,745.6030701790833,,
888.0835,2.04523,888.0835,0.00525,742.8743550058713,,
889.64813,2.04491,889.64813,0.00523,738.7428365987627,,
890,2.04484,890,0.00523,738.4507675629043,,
891.21258,2.04459,891.21258,0.00522,736.0360039683784,,
892.77685,2.04427,892.77685,0.00521,733.3388057812127,,
894.341,2.04396,894.341,0.0052,730.6511408362995,,
895,2.04383,895,0.00519,728.7090892572526,,
895.90497,2.04365,895.90497,0.00518,726.5703613897857,,
897.46887,2.04334,897.46887,0.00517,723.9040622794741,,
899.03253,2.04303,899.03253,0.00516,721.2472319560377,,
900,2.04284,900,0.00515,719.0756518216639,,
900.59607,2.04272,900.59607,0.00515,718.599723224972,,
902.15936,2.04242,902.15936,0.00513,714.5686683521475,,
903.72266,2.04211,903.72266,0.00512,711.942063569801,,
905,2.04187,905,0.00511,709.5486612085678,,
905.28565,2.04181,905.28565,0.00511,709.3247732290396,,
906.84851,2.04151,906.84851,0.00509,705.330887372668,,
908.41125,2.04122,908.41125,0.00508,702.7341715654072,,
909.97382,2.04092,909.97382,0.00507,700.1465054763993,,
910,2.04092,910,0.00507,700.1263628000111,,
911.53625,2.04063,911.53625,0.00506,697.5678181603574,,
913.09845,2.04033,913.09845,0.00505,694.9981308424499,,
914.66052,2.04004,914.66052,0.00504,692.4373197650449,,
915,2.03998,915,0.00503,690.8070403303458,,
916.22247,2.03975,916.22247,0.00502,688.5137894957221,,
